"","num","title","content"
"42",71,"ESTJ행성 탐사 보고서","<U+200B>※ <U+200B>ESTJ행성 탐사결과<U+200B> [<U+200B>현생에 집중해 글리젠이 거의 없음.] [자기 식구는 잘챙기지만 남에게는 무관심한 편.] [규칙이 딱딱 정해지고 그에 맞게 행동함.] [남들에게도 규칙을 지킬것을 강요하는 꼰대 기질이 있음] [ESTJ보단 ESTJ에게 당한 사람들의 불만글이 더 올라옴.] "
"43",72,"ㅋㅋㅋㅋㅋ이거 웃기네","ㅋㅋㅋㅋ"
"44",76,"estj 여자임","그냥 딱 떠오르는 내 성격+주변에서 많이 들은 말금전관리 딱부러지게 잘한다/ 생활력 강하다대학교3학년 때 적금통장에 1000만원 모았음(용돈안받음)현재 갖고 있는 적금은 5가지. 장기 중기 단기 적금생활비통장에는 적어도 50만원 이상이 있도록 함더치페이 좋아함매일 아침 8시 수영 갔다가 학교 수업갔었음운동같은 취미생활 안하면 스트레스 받아서 뒤짐항상 애인 있었고 추정 N,P였던 쉐끼들이랑은 매일 싸우고 끝이 더러웠다. 존나 답답하고 한심하게 느껴질 때가 있었음.현재 만나는 사람은 esfj인데 단 한번도 안싸움 그리고잘맞는다.일 못하는 사람 혐오한다. 뒷담화도 혐오함.아는 사람은 많은데 친구라 생각하는 사람은 열명 안쪽솔직히 우울증에 대해서 이해못하겠음. 그래서 우울증을 겪는 친구 말은 그냥 닥치고 딴생각하면서 들어줌.능률 효율 가성비 ㅈㄴ 따진다고 친구들한테 면박맞은 경험 있음경쟁심도 심한거 같음. 지면 하루종일 생각나고 잠도 못잠. 내가 꼭 이겨야 직성이풀려서 그만큼 노력함. 자존심도 세서 고등학생 때 영어쌤이 영어 못한다고 면박줘서 삼일동안 문제집 한권 다 외워가서 기말고사 100점맞음수학 못하는 걸 인정할 수 없어서 고2까지 수학 문제집 답지 싹 외워서 숫자만 바꿔서 대입하는 식으로 문제풀었음.sns안한다 인스타 안한다 커뮤도 안한다. 여기는 검색하다 어쩌다 들어와서 글 남김. 여행계획 일정 지출 맛집 플랜까지 엑셀파일로 만들었다가 같이갔던 사람이 질겁함데이트코스마저 플랜c까지 만들어감N,P 였던 구남친 약속시간에 20분 늦어서 존나 화내고 그대로 집간 적 있음 그리고 헤어짐응 적으니까 내 성격 존나 좆같다"
"45",77,"이상형테스트 estj나와서 와봤어","ㅎㅇ 너네 주로 어디 서식하니"
"46",78,"너네 웹툰 봄?","네이버 12시 땡 하면 들어가서 웹툰 봄? 나 초딩 때 이후로 한 번도 웹툰 안 봣는데 다른 estj도 그런지 궁금해"
"47",81,"ESTJ 유형이 간섭이 심한 편?","모든게 제자리에 있어야 하고 계획대로 딱딱 맞춰산다는거자체는 모든 유형 중 가장 똑소리 난다고 생각하고거기에 대해서 머라 머라 대꾸하고 싶지도 않다근데 문제는 너무 현실적이고 융통성이 애1미 뒤졌다는거모순적이게도 내로남불인 유형 중 하나흔히들 말하는 좋게 되라는 마음에서 비롯된아무 이유없이 두는 훈수질남의 감정을 고려하지 않은 막말은 그냥 패시브 수준또한 위계 질서가 무조건 옳다고 생각하여팩트로 반박 -> 어디서 어른한테 대꾸질이야?대충 이런식내 주변 ESTJ가 가족, 학교 선생 밖에 없어서내 스스로 그들에 대해서 결론을 내리기엔 다소 애매하기에직접 물어보는거임"
"48",84,"안녕하세요 믑티 설문조사 하러 왔습니다","         https://forms.gle/ErqhDDPBMX2CkKaF9가서 설문 조사 참여 해주세요        "
"49",86,"다들 estj가 융통성 없다고 하는데 ㅋㅋ","내가 봤을 땐 estj가 제일 머리 빨리 돌아가고 상황 판단 제일 빠르고 융통성 있음 "
"50",87,"estj 욕하는건 별상관 없는데ㅋㅋㅋ","제발 estj 욕은 하고딴데가서 우리가 꼰대질한거 지적한거 우리하는행동짜증나고 이해안가면 그 행동남앞에서 바꾸지말고 평생 그렇게 살아ㅠㅠ니네가 욕한데로 살라고ㅠ estj 탓하지말고 또 제발 estj 따라하지마라ㅠ난 이게 제일 역겨움아 estj 가 늦지말래 짜증나ㅇㅈㄹ 불평 불만 존나 해놓고 담날 왜 지각안하는거임?ㅋㅋ그렇게 불만이었으면 지가 원하는데로 지각하고 니 원하던데로 늦게오면 되는데왜 일찍오는거임?? 존나이해안감지좆대로 하고 걍 회사짤리면 되는데왜 estj한데 징징거리는지 존나노이해부모가 잔소리하면 독립하면되는문제임그래놓고 정작 짤리면 또 estj한테 ㅈㄹㅈㄹestj는 사회찌질이들 불만 불평 화살은 다들어주고실질적으로뒤에서 피와살 다 뺏기는 유형들임힘내라"
"51",92,"estj 연애할 때 애정표현","나는 enfp고 남친이 estj인데 "
"52",93,"대기업 인성검사했는데 단점이 없는게 고민...","당신은 근면성실합니까? 예쓰당신은 윗사람의 조언을 받아들입니까? 당연히 예쓰당신은 하기싫은일도 끈기있게합니까? 예쓰당신은 기분이 언짢아도 밝은표정입니까? 예쓰당신은 낯선사람에게도 먼저 말을 겁니까? 예쓰이거 구라여도 걸러진다는데나도 중간에 적당히 노좀하고싶었는데estj 는 노가 딱히 할께 없더라...."
"53",94,"렇9ㄹ9개개헤르더뇬ㅅㄴㅎㅈㅍ노야라우더냐툖ㄴㅎ뇮묘녀어룽8아짖0처느마느브브주","너두달9텨부다쳩8ㅁ바ㅡ3ㅏ챠쿠즈4ㅐㄱ91101ㅔ베재자즈냐투루더댜느드잽비ㅡ비베매타우두두려챠추그ㅡ걍9타므브즈제ㅑㅌ챠ㅓㅊ구ㅜ지미노로쳐탸ㅔㅁ비즈구처터키ㅔㅁ배ㅕ거수우애아제자으탸마베래터즈래처두라캐베베베재댜우구걍이시자래자닷쟈저 "
"54",95,"아빠가 estj인데 뒤질거같습니다","본인 isfp.."
"55",96,"estj가 많이 까이는 이유가 이거같음","인성과 mbti는 별개의 영역이지만똑같은 수준으로 인성이 나쁘다고 가정했을때 다른유형보다 공감능력이 떨어지는 유형이라 남한테 상처주기 쉽고그래서 더 욕먹는거같음 그런 인성을 가진 사람은 굳이 estj가 아니더라도 욕먹겠지"
"56",98,"엣팁인데 estj되고싶다","         공부해야되는데 억지로 계획을 세워놔도 100프로 지킨날이없다 ㅆㅂ        "
"57",100,"여기 estj = 불건강한 찐따 병신인 이유","애초에 정상적인 estj면 디시질을 왜하노 그시간에 생업에나 신경쓰지"
"58",101,"그나저나 Esfp 갤 도데체 뭔 일이 있었던 거노","Mbti 갤들 둘러보다가 여기랑 다른 갤들은 그럭저럭 잘 돌아가는데 저기는 완장 부재에 어떤 미친놈이 도배 테러중인데 도데체 뭔 일이 있었던 거임?"
"59",102,"회사에 INTJ 신입왔는데 ㄹㅇ정신병자같아ㅋㅋㅋ","한달된 신입인데 나보다 나이도 많은게일도 ㅈ도못하고 말귀도 못알아쳐먹고ㄹㅇ아스퍼거 증후군같음ㅋㅋ다같이 회의하는데 자기혼자 말도없이 카페가고1시까지 오세요. 했는데 1시에 출발하는 씹병신.성격도 씹노잼 진지충참다가 대표한테 말했는데적반하장으로ㅋㅋㅋ쒸익쒸익 대면서나보고 인생그렇게 살지마라는거ㅋㅋㅋ 자기일에 관여하지마라는거ㅋㅋㅋㅋ저기.. 니새끼가 일을 쳐못하고 안하니까 내가관여하지 븅신아?좆같지만 어차피 말안통할 장애인같아서아ㅎㅎ<U+00A0><U+00A0>죄송하다~ 하고 내가 후밴데 내가 커피사주면서앞으로 잘해봅시다 환자수송했음근데 담날도 나좀보자더니ㅋㅋ자긴 아직도 화가난다면서ㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ앞으로 나랑상종 안하겠데ㅋㅋㅋㅋㅋ나보고 쌍욕시전함ㅋㅋㅋㅋㅋ이때 좀 신들린새끼같아서 난 웃었음할말다하셨음요? 더 하실욕있나요?ㅎㅎ하고 일어났는데오늘 팩스기계 안되니까나한테 사과하더라ㅋㅋㅋㅋㅋㅋ진짜 뒤끝있는새끼들 너무추함ㅋㅋㅋ사회생활에선 쿨한척이라도 해 좀"
"60",103,"T랑 F가 반응 온도차이 제일 심한듯",""
"61",104,"깔끔하게 재벌가들 처럼 정략결혼하고 싶어","여기 estj들 연애관 궁금해하는 사람들도많은것같아서케바케겠지만 난솔직히 까놓고 말해서 반려자될사람이지만 백프로 다믿거나마음을 다주진 않을것같아내가 부모님사랑하거나 내가낳을자식한테 주는 무조건적인그런 순수한사랑은 안될것같다는거지...뭐랄까.. 그냥 나라간에 협정맺듯이 의리로 살게될것같애실제로 나이든 어른들 말 들어보면 결국 그렇게 산다고들하시잖아ㅎㅎ그래서 난 알콩달콩하는연애나, 감정오가는? 이런것들이그냥 무의미하고 시간낭비처럼 느껴져ㅠ어차피 나이들면 꼴뵈기싫어질텐데어차피 결혼하고 애낳고 살면 돈이 최곤데 이런것들이 무슨소용이지 싶어서.그래서난 조건딱 맞춰서 정확하게너희집에선 얼만큼 해줄수있니?난 이거 차려줄수있어. 재산은 이정도고 넌결혼하면 이렇게 해줬음좋겠어정확하게 말하고 조건맞춰서 결혼하거나 연애하고싶어재벌가들 이렇게 많이 하잖아. 현명하다고 생각해사랑보고 결혼한 이부진도 이혼했는데..estj마다 케바케겠지만 일단 내가 요즘 드는생각은 이래"
"62",105,"요즘 공부하다가","잊어먹지 말아야겠다 는 생각때매 "
"63",106,"니들은 성격 정반대인 애랑 사귄다면 어떨꺼같음 ㅇㅇ","INFP 누나 좋아하는데 누나가 너무 철벽친다"
"64",107,"ㅎㅇ 엔팁에 관한 의견 물으러 옴","         나는 엔팁은 아니고 엣티제도 아닌데엣티제가 생각하는 엔팁이 어떤지 물어보고 싶어서 왔음.내가 본 엔팁하고 엣티제들은 주로 잘 안 맞는 것 같던데, 너희도 그렇다고 생각함? 이유랑 같이 좀 부탁함.<U+00A0>내 현실관계에 큰 도움이 될 것 같아서 질문함.        "
"65",108,"아빠가ESTJ","십몇년째 갈굼당하고있읍니다.. "
"66",109,"estj 특유의 내로남불 너무 싫음진짜 ","자기만의 가치관으로 남 판단하고 평가하고 내로남불 오지는거 토나옴 자기합리화도 뒤지게 잘함 존나 예민해서 지 욕먹은거 다 기억하고 찐따마냥 속에 다 담아둠 쿨한 척 할때마저 계산적 소심하지만 관심받고 싶은 이기적인 찐따 ㅡ estj"
"67",110,"estj 친구들아 너네도 다른 mbti 갤 가서 욕하고 그래?","우리 갤엔 어디 estj 한테 한 대 맞은 애들밖에 업나 왤케 다 estj 싫어함??<U+00A0><U+00A0>굳이 찾아와서 욕하는 것도 ㅈㄴ 이해안댐"
"68",111,"야 엣티제 ㄹㅇ 말 많음? ","타갤에서 누가 그러던데 엣티제 친구 말 많다고 절대 안닥치는 유형 조합 거기 낀다고 ㅇㅇ내가 본 엣티제들 집단에서 과묵하고 카리스마 있고 승부욕 오지는 인싸들이었는데 친해지면 말 많냐 어떻게 하면 친해짐? 너네 호기심 든다 "
"69",112,"엣티제 갤러들아 너네도 번아웃 오냐","나는 주기적으로 오는 듯<U+00A0>"
"70",113,"근데 기업에서 estj 좋아하는거 맞아??","         난 일 너무 빨리한다고 꼼꼼히 안본다고 ㅈㄹ하던데...그리고 선배보다 오만하다고 늘 지적받았어....기업에서 좋아하긴 개뿔이..... 아니지않아 estj?        "
"71",114,"estj친구들아 istj랑 잘맞음?","내 절친이 estj라 물어봐"
"72",115,"나 estj 딱맞음","ㄹㅇㅋㅋ나는 내 성격 좋은데"
"73",117,"회사에서 차라리 estj 상사유형이 제일낫다","infp상사 만나봤냐?이것들 상사면서 일좆도못하고 가끔 분노조절장애있는데말은 안하고 혼자 쳐삐짐ㅡㅡ회산데 사적으로 존나 치근덕댐<U+00A0><U+00A0>리더십 존나없어서 믿음이 안감더윗상사한테 맨날 개발리고 쳐움일하면서 음악틀어놈 이런상사가 낳냐?잔소리좀 해도 성과급 제때잘챙겨주고사적인거 터치안하는 상사가 낳냐?ㅋㅋestj 상사가 백번나아다들 estj 하늘같은줄 모르는구먼"
"74",118,"우리나라에 estj가 두번째로 많다는데","갤은 왜 이래? 다 어디갔어"
"75",119,"잔소리나 조언이 그렇게 듣기싫어?","난 지금 생각해보면어릴때 현실적인 팩폭안해주고그저 자기나쁜이미지 되기싫어서돈보다 니꿈을 찾아~^^조금 늦게취업해도 괜찮아이딴 희망심어주고 달콤한말 해준새끼들이제일 악질이라고 생각함ㅇㅇ새끼야 정신차리고 똑바로해라!!!!라고 뇌에 충격가게 해준 그분이 난 제일감사하고지금도 나한테 진심으로 해주는 팩폭 잔소리는감사히 새기면서 듣는다조언 쓴소리가 뭘그리 듣기싫어서 꼰대니 뭐니하는건지 이해가 안감"
"76",120,"잇프피) 너네 엔티제랑 비슷한거같애","근데 여기에는 왜 너희들 안좋은 묘사만 있는지 모르겠넹 "
"77",122,"너무외롭고힘든데 아무나친구하실분있나요????????????????????",""
"78",123,"ESTJ들아","너무 땅만 보지말고  "
